,index,rt,stimulus,key_press,name,trial_type,trial_index,time_elapsed,internal_node_id,response,certainty,char,set,transposition,order,shift_amount,shift_position,probe_pitches,shifted_pitches,swapped_pitches,shift_direction,question_num,has_decoy,subject,sona_x,block,time,malformed,option_1,option_2,chose,Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,Q16.1,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona_y,section,Cardinal Name,ID,Major and Minor triads,Rothenberg Propriety,Lerdahl Instable Modes,Unique Step Sizes,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Consecutive semitones,Subset of Diatonic,Subset of MOLT,# Transpositions,Spread Unevenness,# Triads,Unique Trichords,Total Trichords,Dissonance Min,Dissonance Max,Dissonance Median,# Diagnostic Intervals,Semitone Set Violations,# Segments,Scale Degree Clarity,Motive Strength,Levenshtein Distance Pentatonic,Levenshtein Distance Diatonic,Stackable with 3rds,Scalar Pentachord,Imperfections,Polygon Area,Inverse Card. name,Diatonic Parents,Harmonic Minor Parents,Melodic Minor Parents,Unique Diads,Total Diads,Sameness Quotient,Coherence Quotient,Prime Form?,Note 2,Note 3,Note 4,Note 5
0,0,5427.915000007488,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,13,162097,0.0-13.0,2nd,high,L,0 2 4 6 7,-3,"['shifted', 'swapped']",-1,7,3 -2 5 9 5 9 3 5 9 3 9 3,3 -2 5 9 5 9 3 4 9 3 9 3,3 -2 5 9 5 3 9 5 9 3 9 3,down,1,False,SSS0002,39501,1,2020-09-28 22:10:57.855000+00:00,probe doesn't include all set's notes.,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
1,7,1362.0999999984633,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,90,323314,0.0-90.0,2nd,high,L,0 2 4 6 7,1,"['shifted', 'swapped']",-1,7,3 4 9 11 3 13 9 11 13 1 3 11,3 4 9 11 3 13 9 10 13 1 3 11,3 4 9 11 3 9 13 11 13 1 3 11,down,71,False,SSS0002,39501,1,2020-09-28 22:10:57.855000+00:00,,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
2,24,3785.0499999913154,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,54,126749,0.0-54.0,neither,high,G,0 2 4 6 7,1,"['shifted', 'swapped']",-1,7,13 9 13 11 13 9 11 7 1 2 1 7,13 9 13 11 13 9 11 6 1 2 1 7,13 9 13 11 13 11 9 7 1 2 1 7,down,41,False,SSS0002,39501,2,2020-09-28 22:19:58.787000+00:00,,shifted,swapped,neither,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
3,25,494.67500000901055,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,65,146378,0.0-65.0,2nd,high,L,0 2 4 6 7,3,"['swapped', 'shifted']",1,7,15 13 7 15 13 15 7 13 3 8 13 5,15 13 7 15 13 15 7 14 3 8 13 5,15 13 7 15 13 7 15 13 3 8 13 5,up,51,False,SSS0002,39501,2,2020-09-28 22:19:58.787000+00:00,,swapped,shifted,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
4,36,787.1199999935925,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,186,384662,0.0-186.0,2nd,high,L,0 2 4 6 7,3,"['swapped', 'shifted']",1,7,10 15 10 9 15 7 9 10 15 9 3 15,10 15 10 9 15 7 9 11 15 9 3 15,10 15 10 9 15 9 7 10 15 9 3 15,up,161,False,SSS0002,39501,2,2020-09-28 22:19:58.787000+00:00,probe doesn't include all set's notes.,swapped,shifted,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
5,39,477.3600000042934,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,219,445568,0.0-219.0,2nd,high,L,0 2 4 6 7,-1,"['swapped', 'shifted']",1,6,11 9 4 1 3 1 9 4 9 1 3 11,11 9 4 1 3 1 10 4 9 1 3 11,11 9 4 1 3 9 1 4 9 1 3 11,up,191,False,SSS0002,39501,2,2020-09-28 22:19:58.787000+00:00,,swapped,shifted,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
6,43,4082.5600000098348,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,43,273576,0.0-43.0,2nd,high,L,0 2 4 6 7,3,"['swapped', 'shifted']",-1,6,3 8 12 8 14 10 8 15 10 14 15 14,3 8 12 8 14 10 7 15 10 14 15 14,3 8 12 8 14 8 10 15 10 14 15 14,down,31,False,SSS0002,39501,3,2020-09-28 22:32:16.294000+00:00,,swapped,shifted,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
7,44,1827.7450000022072,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,54,296411,0.0-54.0,2nd,high,L,0 2 4 6 7,2,"['shifted', 'swapped']",-1,7,12 8 12 8 3 12 10 2 12 14 2 10,12 8 12 8 3 12 10 1 12 14 2 10,12 8 12 8 3 10 12 2 12 14 2 10,down,41,False,SSS0002,39501,3,2020-09-28 22:32:16.294000+00:00,,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
8,52,1550.5350000022445,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,142,455995,0.0-142.0,neither,high,G,0 2 4 6 7,-1,"['swapped', 'shifted']",-1,7,6 11 6 8 4 10 -1 6 10 -1 6 11,6 11 6 8 4 10 -1 5 10 -1 6 11,6 11 6 8 4 -1 10 6 10 -1 6 11,down,121,False,SSS0002,39501,3,2020-09-28 22:32:16.294000+00:00,,swapped,shifted,neither,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
9,54,1331.0250000068918,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,164,511976,0.0-164.0,2nd,high,L,0 2 4 6 7,-2,"['shifted', 'swapped']",1,6,8 6 1 -2 1 0 6 1 6 -2 0 10,8 6 1 -2 1 0 7 1 6 -2 0 10,8 6 1 -2 1 6 0 1 6 -2 0 10,up,141,False,SSS0002,39501,3,2020-09-28 22:32:16.294000+00:00,,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
10,58,1271.6700000017881,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,208,595353,0.0-208.0,2nd,high,L,0 2 4 6 7,0,"['swapped', 'shifted']",1,7,5 2 0 2 0 10 2 5 0 2 5 10,5 2 0 2 0 10 2 6 0 2 5 10,5 2 0 2 0 2 10 5 0 2 5 10,up,181,False,SSS0002,39501,3,2020-09-28 22:32:16.294000+00:00,probe doesn't include all set's notes.,swapped,shifted,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
11,66,1571.8249999918044,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,76,185462,0.0-76.0,1st,high,A,0 2 4 6 7,0,"['shifted', 'swapped']",1,6,12 10 5 10 2 12 10 0 10 5 2 12,12 10 5 10 2 12 11 0 10 5 2 12,12 10 5 10 2 10 12 0 10 5 2 12,up,61,False,SSS0002,39501,4,2020-09-28 22:42:55.965000+00:00,probe doesn't include all set's notes.,shifted,swapped,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
12,67,1433.8500000010245,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,87,207877,0.0-87.0,1st,high,A,0 2 4 6 7,2,"['shifted', 'swapped']",1,6,2 7 14 7 4 12 14 7 4 12 14 12,2 7 14 7 4 12 15 7 4 12 14 12,2 7 14 7 4 14 12 7 4 12 14 12,up,71,False,SSS0002,39501,4,2020-09-28 22:42:55.965000+00:00,probe doesn't include all set's notes.,shifted,swapped,shifted,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
13,73,1623.2899999888614,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,153,337690,0.0-153.0,1st,high,A,0 2 4 6 7,-3,"['swapped', 'shifted']",-1,6,-3 -1 1 9 4 1 9 -1 9 -1 3 4,-3 -1 1 9 4 1 8 -1 9 -1 3 4,-3 -1 1 9 4 9 1 -1 9 -1 3 4,down,131,False,SSS0002,39501,4,2020-09-28 22:42:55.965000+00:00,,swapped,shifted,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
14,85,1257.7050000107847,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,65,207365,0.0-65.0,1st,high,A,0 2 4 6 7,0,"['swapped', 'shifted']",1,6,7 11 5 12 7 5 9 7 5 11 12 0,7 11 5 12 7 5 10 7 5 11 12 0,7 11 5 12 7 9 5 7 5 11 12 0,up,51,False,SSS0002,39501,5,2020-09-28 22:54:32.458000+00:00,,swapped,shifted,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
15,90,1489.184999998659,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,120,429341,0.0-120.0,2nd,high,L,0 2 4 6 7,-3,"['shifted', 'swapped']",-1,6,1 -1 4 1 4 -1 3 1 -1 3 -1 1,1 -1 4 1 4 -1 2 1 -1 3 -1 1,1 -1 4 1 4 3 -1 1 -1 3 -1 1,down,101,False,SSS0002,39501,5,2020-09-28 22:54:32.458000+00:00,probe doesn't include all set's notes.,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
16,98,509.1049999897368,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,208,592025,0.0-208.0,2nd,high,L,0 2 4 6 7,-2,"['shifted', 'swapped']",1,6,10 5 2 0 4 5 -2 2 0 4 0 5,10 5 2 0 4 5 -1 2 0 4 0 5,10 5 2 0 4 -2 5 2 0 4 0 5,up,181,False,SSS0002,39501,5,2020-09-28 22:54:32.458000+00:00,,shifted,swapped,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
17,103,14752.049999995623,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,43,209809,0.0-43.0,1st,high,A,0 2 4 6 7,1,"['swapped', 'shifted']",1,6,1 3 5 1 7 5 13 3 8 5 7 3,1 3 5 1 7 5 14 3 8 5 7 3,1 3 5 1 7 13 5 3 8 5 7 3,up,31,False,SSS0002,39501,6,2020-09-28 23:05:30.850000+00:00,,swapped,shifted,swapped,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
18,115,2559.6050000023097,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,175,545452,0.0-175.0,neither,high,G,0 2 4 6 7,-2,"['shifted', 'swapped']",-1,7,8 6 10 6 0 8 10 -2 0 10 -2 1,8 6 10 6 0 8 10 -3 0 10 -2 1,8 6 10 6 0 10 8 -2 0 10 -2 1,down,151,False,SSS0002,39501,6,2020-09-28 23:05:30.850000+00:00,,shifted,swapped,neither,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
19,118,1621.8649999937043,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,208,605439,0.0-208.0,neither,high,G,0 2 4 6 7,-1,"['swapped', 'shifted']",-1,7,7 9 2 9 1 9 2 7 1 2 1 11,7 9 2 9 1 9 2 6 1 2 1 11,7 9 2 9 1 2 9 7 1 2 1 11,down,181,False,SSS0002,39501,6,2020-09-28 23:05:30.850000+00:00,,swapped,shifted,neither,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Agree,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
20,2258,849.4100000243634,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,211,444131,0.0-211.0,1st,high,A,0 2 4 6 7,-1,"['swapped', 'shifted']",-1,7,8 11 8 6 8 10 6 4 8 -1 6 -1,8 11 8 6 8 10 6 3 8 -1 6 -1,8 11 8 6 8 6 10 4 8 -1 6 -1,down,181,False,SSS0019,38347,1,2020-09-19 01:53:36.174000+00:00,,swapped,shifted,swapped,19,20,No,"headphone, in-ear, Apple airpods (the first model)",8-18,Spanish,I focused on rhythm pattern and note changes,,Unknown,SONA for course credit,Agree,,Yes,Female,,6.0,9+,"Yes, I do alright",violin,Strongly Agree,Agree,note changes and sometimes rhythm,2020-09-18 22:39:34,38347,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
21,2260,571.8500000657514,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,10,26994,0.0-10.0,2nd,high,L,0 2 4 6 7,-3,"['shifted', 'swapped']",-1,6,9 7 9 7 2 -1 1 7 2 9 -1 2,9 7 9 7 2 -1 0 7 2 9 -1 2,9 7 9 7 2 1 -1 7 2 9 -1 2,down,1,False,SSS0019,38347,2,2020-09-19 02:00:46.870000+00:00,,shifted,swapped,swapped,19,20,No,"headphone, in-ear, Apple airpods (the first model)",8-18,Spanish,I focused on rhythm pattern and note changes,,Unknown,SONA for course credit,Agree,,Yes,Female,,6.0,9+,"Yes, I do alright",violin,Strongly Agree,Agree,note changes and sometimes rhythm,2020-09-18 22:39:34,38347,0.0,213,46,1,improper,0,3,1,3,1,2,2,1,1,True,3,12,0.4642857142857142,5,9,10,0.1588823263715259,0.3209210874911865,0.2364715286844132,4,8,3,1.0,4,2,2,False,True,3,0.572651614658247,171,1,0,1,6,13,0.1999999999999999,0.52,0,2,4,6,7
